Country,Sector,HS_Code,V2026,V2027,V2028,Route_Tag
Albania,Cement,25070080,,,,
Albania,Cement,25231000,,,,
Albania,Cement,25231000,0.957,1.044,1.131,(A)
Albania,Cement,25232100,1.23,0.14,1.37,
Albania,Cement,25232900,1.023,1.116,1.209,
Albania,Cement,25239000,,,,(B)
Albania,Cement,25239000,0.979,1.068,1.157,(A)
Albania,Cement,25233000,,,,
Albania,Fertilisers,28080000,2.788,2.788,2.788,
Albania,Fertilisers,28141000,,,,
Albania,Fertilisers,28142000,0.687,0.687,0.687,
Albania,Fertilisers,28342100,2.262,2.262,2.262,
Albania,Fertilisers,3102,,,,
Albania,Fertilisers,31021012,0.475,0.475,0.475,
Albania,Fertilisers,31021015,0.768,0.768,0.768,
Albania,Fertilisers,31021019,1.434,1.434,1.434,
Albania,Fertilisers,31021090,1.404,1.404,1.404,
Albania,Fertilisers,31022100,0.677,0.677,0.677,
Albania,Fertilisers,31022900,1.475,1.475,1.475,
Albania,Fertilisers,31023010,1.717,1.717,1.717,
Albania,Fertilisers,31023090,2.646,2.646,2.646,
Albania,Fertilisers,31024010,2.242,2.242,2.242,
Albania,Fertilisers,31024090,2.242,2.242,2.242,
Albania,Fertilisers,31025000,4.353,4.353,4.353,
Albania,Fertilisers,31026000,2.222,2.222,2.222,
Albania,Fertilisers,31028000,1.636,1.636,1.636,
Albania,Fertilisers,31029000,1.656,1.656,1.656,
Albania,Fertilisers,3105,,,,
Albania,Fertilisers,31051000,0.869,0.869,0.869,
Albania,Fertilisers,31052010,1.131,1.131,1.131,
Albania,Fertilisers,31052090,0.778,0.778,0.778,
Albania,Fertilisers,31053000,0.556,0.556,0.556,
Albania,Fertilisers,31054000,0.354,0.354,0.354,
Albania,Fertilisers,31055100,1.555,1.555,1.555,
Albania,Fertilisers,31055900,0.646,0.646,0.646,
Albania,Fertilisers,31059020,1.505,1.505,1.505,
Albania,Fertilisers,31059080,0.778,0.778,0.778,
Albania,Hydrogen,28041000,15.433,16.836,18.239,
Algeria,Cement,25070080,,,,
Algeria,Cement,25231000,1.474,1.608,1.742,(B)
Algeria,Cement,25231000,1.408,1.536,1.664,(A)
Algeria,Cement,25232100,1.507,1.644,1.781,
Algeria,Cement,25232900,1.43,1.56,1.69,
Algeria,Cement,25239000,1.584,1.728,1.872,(B)
Algeria,Cement,25239000,1.364,1.488,1.612,(A)
Algeria,Cement,25233000,,,,
Algeria,Fertilisers,28080000,2.555,2.555,2.555,
Algeria,Fertilisers,28141000,2.101,2.101,2.101,
Algeria,Fertilisers,28142000,0.626,0.626,0.626,
Algeria,Fertilisers,28342100,2.081,2.081,2.081,
Algeria,Fertilisers,3102,,,,
Algeria,Fertilisers,31021012,0.475,0.475,0.475,
Algeria,Fertilisers,31021015,0.768,0.768,0.768,
Algeria,Fertilisers,31021019,1.424,1.424,1.424,
Algeria,Fertilisers,31021090,1.394,1.394,1.394,
Algeria,Fertilisers,31022100,0.636,0.636,0.636,
Algeria,Fertilisers,31022900,1.374,1.374,1.374,
Algeria,Fertilisers,31023010,1.586,1.586,1.586,
Algeria,Fertilisers,31023090,2.444,2.444,2.444,
Algeria,Fertilisers,31024010,2.091,2.091,2.091,
Algeria,Fertilisers,31024090,2.091,2.091,2.091,
Algeria,Fertilisers,31025000,3.979,3.979,3.979,
Algeria,Fertilisers,31026000,2.05,2.05,2.05,
Algeria,Fertilisers,31028000,1.545,1.545,1.545,
Algeria,Fertilisers,31029000,1.596,1.596,1.596,
Algeria,Fertilisers,3105,,,,
Algeria,Fertilisers,31051000,0.818,0.818,0.818,
Algeria,Fertilisers,31052010,1.071,1.071,1.071,
Algeria,Fertilisers,31052090,0.727,0.727,0.727,
Algeria,Fertilisers,31053000,0.515,0.515,0.515,
Algeria,Fertilisers,31054000,0.343,0.343,0.343,
Algeria,Fertilisers,31055100,1.454,1.454,1.454,
Algeria,Fertilisers,31055900,0.616,0.616,0.616,
Algeria,Fertilisers,31059020,1.394,1.394,1.394,
Algeria,Fertilisers,31059080,0.727,0.727,0.727,
Algeria,Aluminium,7601,0.396,0.432,0.468,(L)
Algeria,Aluminium,7603,1.012,1.104,1.196,(L)
Algeria,Aluminium,76041010,1.254,1.368,1.482,(L)
Algeria,Aluminium,76041090,1.276,1.392,1.508,(L)
Algeria,Aluminium,76042100,1.276,1.392,1.508,(L)
Algeria,Aluminium,76042910,1.254,1.368,1.482,(L)
Algeria,Aluminium,76042990,1.276,1.392,1.508,(L)
Algeria,Aluminium,7605,1.254,1.368,1.482,(L)
Algeria,Aluminium,7606,1.76,1.92,2.08,(L)
Algeria,Aluminium,7607,1.76,1.92,2.08,(L)
Algeria,Aluminium,7608,1.276,1.392,1.508,(L)
Algeria,Aluminium,76090000,1.276,1.392,1.508,(L)
Algeria,Aluminium,76101000,1.276,1.392,1.508,(L)
Algeria,Aluminium,761090,1.276,1.392,1.508,(L)
Algeria,Aluminium,76109010,1.276,1.392,1.508,(L)
Algeria,Aluminium,76109090,1.276,1.392,1.508,(L)
Algeria,Aluminium,76110000,1.76,1.92,2.08,(L)
Algeria,Aluminium,7612,1.76,1.92,2.08,(L)
Algeria,Aluminium,76130000,1.76,1.92,2.08,(L)
Algeria,Aluminium,7614,1.254,1.368,1.482,(L)
Algeria,Aluminium,76161000,1.76,1.92,2.08,(L)
Algeria,Aluminium,76169100,1.76,1.92,2.08,(L)
Algeria,Aluminium,76169910,1.012,1.104,1.196,(L)
Algeria,Aluminium,76169990,1.76,1.92,2.08,(L)
Algeria,Hydrogen,28041000,11.902,12.984,14.066,
Algeria,Iron and steel,26011200,0.231,0.252,0.273,
Algeria,Iron and steel,7201,3.157,3.444,3.731,
Algeria,Iron and steel,720211,,,,
Algeria,Iron and steel,720219,,,,
Algeria,Iron and steel,720241,,,,
Algeria,Iron and steel,720249,,,,
Algeria,Iron and steel,72026000,,,,
Algeria,Iron and steel,7203,0.891,0.972,1.053,
Algeria,Iron and steel,7205,3.179,3.468,3.757,(C)
Algeria,Iron and steel,7206,,,,
Algeria,Iron and steel,72061000,3.3,3.6,3.9,(C)
Algeria,Iron and steel,72069000,3.3,3.6,3.9,(C)
Algeria,Iron and steel,7207,,,,
Algeria,Iron and steel,72071111,3.3,3.6,3.9,(C)
Algeria,Iron and steel,72071114,3.3,3.6,3.9,(C)
